hhid,quarter,cluster,HholdID,personid,s1aq1_gender,s1aq2_ role_in_household,s2aq3_highest_level_of_education,s4aq40a_occupation,s4aq42_occupation_type_registration,s4aq44_occupation_place,s1aq4y_age,s1aq9a_tribe,s1bq5a_region of stay,s1aq5_marital_status
315910,2022Q3,159,10,2,Female,Spouse (Wife/Husband/Living together),Middle,MIXED FARMER CULTIVATING MAIZE CASSAVA RICE  AND REARING OF GOAT AND CHICKEN,Private Informal,Own land / farm,51,Ewe,,Married (Customary/Traditional)
315910,2022Q3,159,10,1,Male,Head,Tertiary - Bachelor's Degree,MIXED FARMER CULTIVATING MAIZE CASSAVA RICE AND REARING GOAT AND CHICKEN,Private Informal,Own land / farm,66,Ewe,,Married (Customary/Traditional)
716217,2023Q3,162,17,1,Female,Head,JSS/JHS,MIXED CROP FARMER (PEPPER AND CASSAVA),Private Informal,Other land / farm.,38,Ewe,,Married (Civil/Ordinance)
616416,2023Q2,164,16,1,Male,Head,Middle,"MIXED CROP FARMER (MAIZE, GROUNDNUT, TOMATOES)",Private Informal,Other land / farm.,56,Ewe,Volta,Married (Customary/Traditional)
216710,2022Q2,167,10,1,Male,Head,SSS/SHS,RICE FARMER CULTIVATING RICE,Private Informal,Own land / farm,29,Ewe,,Informal/living together
216715,2022Q2,167,15,1,Male,Head,Middle,MIXED FARMER CULTIVATING RICE AND REARING CHICKEN,Private Informal,Own land / farm,55,Ewe,,Informal/living together
216717,2022Q2,167,17,1,Female,Head,0,MIXED CROP FARMER CULTIVATING MAIZE AND CASSAVA,Private Informal,Own land / farm,47,Ewe,,Separated
516916,2023Q1,169,16,5,Female,Spouse (Wife/Husband/Living together),Middle,MIXED FARMER CULTIVATING OKRO MAIZE AND REARING CHICKEN,Private Informal,Own land / farm,50,Ewe,Volta,Informal/living together
716918,2023Q3,169,18,1,Male,Head,Middle,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING GOAT,Private Informal,Own land / farm,54,Ewe,,Married (Customary/Traditional)
316914,2022Q3,169,14,7,Female,Child (Son/Daughter),0,MIXED FARMER CULTIVATING MAIZE CASSAVA OKRO REARING CHICKEN,Private Informal,Own land / farm,30,Ewe,,Informal/living together
716917,2023Q3,169,17,1,Female,Head,0,MIXED FARMER CULTIVATING CASSAVA MAIZE BEANS CHICKEN,Private Informal,Own land / farm,63,Ewe,,Widowed
516903,2023Q1,169,3,2,Female,Spouse (Wife/Husband/Living together),0,MIXED CROP FARMER CULTIVATING OKRO AND PEPPER,Private Informal,Own land / farm,60,Ewe,,Informal/living together
316916,2022Q3,169,16,5,Female,Spouse (Wife/Husband/Living together),Middle,MIXED CROP FARMER CULTIVATING TOMATOES PEPPER,Private Informal,Own land / farm,49,Ewe,Volta,Informal/living together
316914,2022Q3,169,14,1,Female,Head,Kindergarten,MIXED FARMER CULTIVATING MAIZE CASSAVA OKRO BEANS REARING CHICKEN,Private Informal,Other land / farm.,57,Ewe,,Widowed
616917,2023Q2,169,17,1,Female,Head,0,MIXED FARMER CULTIVATING MAIZE CASSAVA PEPPER BEANS AND REARING CHICKEN,Private Informal,Own land / farm,63,Ewe,,Widowed
516918,2023Q1,169,18,1,Male,Head,Middle,MIXED FARMER CULTIVATING CASSAVA MAIZE AND REARING GOATS,Private Informal,Own land / farm,54,Ewe,,Married (Customary/Traditional)
316918,2022Q3,169,18,1,Male,Head,Middle,MIXED FARMER CULTIVATING MAIZE CASSAVA BEANS AND REARING GOATS,Private Informal,Own land / farm,53,Ewe,,Married (Customary/Traditional)
716917,2023Q3,169,17,3,Female,Grandchild,Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND CHICKEN,Private Informal,Own land / farm,18,Ewe,,Never married
616918,2023Q2,169,18,1,Male,Head,Middle,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING CHICKEN AND GOAT,Private Informal,Own land / farm,54,Ewe,,Married (Customary/Traditional)
316916,2022Q3,169,16,6,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING CASSAVA MAIZE AND REARING GOAT AND CHICKEN,Private Informal,Own land / farm,39,Ewe,Volta,Informal/living together
716916,2023Q3,169,16,1,Male,Head,JSS/JHS,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING CHICKEN,Private Informal,Own land / farm,45,Ewe,,Informal/living together
616916,2023Q2,169,16,1,Male,Head,JSS/JHS,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING CHICKEN,Private Informal,Own land / farm,45,Ewe,,Informal/living together
616917,2023Q2,169,17,3,Female,Grandchild,Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA PEPPER BEANS AND REARING CHICKEN,Private Informal,Other land / farm.,18,Ewe,,Never married
316915,2022Q3,169,15,1,Male,Head,Middle,MIXED CROP FARMER CULTIVATING MAIZE AND BEANS,Private Informal,Other land / farm.,55,Ewe,,Married (Customary/Traditional)
716903,2023Q3,169,3,2,Female,Head,0,MIXED FARMER CULTIVATING MAIZE,Private Informal,Own land / farm,61,Ewe,,Informal/living together
316917,2022Q3,169,17,1,Female,Head,0,MIXED FARMER CULTIVATING MAIZE CASSAVA BEANS PEPPER AND TOMATOES AND REARING CHICKEN,Private Informal,Other land / farm.,62,Ewe,,Widowed
316915,2022Q3,169,15,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED CROP FARMER CULTIVATING MAIZE AND BEANS,Private Informal,Other land / farm.,54,Ewe,Volta,Married (Customary/Traditional)
417017,2022Q4,170,17,2,Female,Spouse (Wife/Husband/Living together),JSS/JHS,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING GOAT AND CHICKEN,Private Informal,Own land / farm,29,Ewe,Greater Accra,Informal/living together
617017,2023Q2,170,17,1,Male,Head,Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA PEPPER AND REARING CHICKEN GOAT AND DUCK,Private Informal,Own land / farm,35,Ewe,Outside Ghana (specify country),Informal/living together
517017,2023Q1,170,17,1,Male,Head,Primary,MIXED FARMER CULTIVATING CASSAVA MAIZE BEANS  AND REARING CHICKEN GOAT,Private Informal,Own land / farm,34,Ewe,Outside Ghana (specify country),Informal/living together
717016,2023Q3,170,16,1,Male,Head,JSS/JHS,MIXED FARMER CASSAVA AND MAIZE REARING GOAT BEES,Private Informal,Own land / farm,40,Ewe,Greater Accra,Married (Customary/Traditional)
517015,2023Q1,170,15,1,Male,Head,0,MIXED FARMER CULTIVATING MAIZE CASSAVA PALM NUTS AND REARING GOAT SHEEP AND CHICKEN,Private Informal,Own land / farm,71,Ewe,Volta,Informal/living together
717017,2023Q3,170,17,1,Male,Head,Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING GUINEA FOWL AND GOAT,Private Informal,Own land / farm,35,Ewe,Outside Ghana (specify country),Informal/living together
617017,2023Q2,170,17,2,Female,Spouse (Wife/Husband/Living together),JSS/JHS,MIXED FARMER CULTIVATING MAIZE CASSAVA PEPPER AND REARING CHICKEN GOAT AND DUCK,Private Informal,Own land / farm,29,Ewe,Greater Accra,Informal/living together
717015,2023Q3,170,15,1,Male,Head,0,MIXED FARMER CULTIVATING MAIZE CASSAVA AND PALM NUT AND REARING SHEEP AND CHICKEN,Private Informal,Own land / farm,71,Ewe,Volta,Informal/living together
517017,2023Q1,170,17,2,Female,Spouse (Wife/Husband/Living together),JSS/JHS,MIXED FARMER CULTIVATING MAIZE CASSAVA PEPPER BEANS AND REARING GOAT AND CHICKEN,Private Informal,Own land / farm,29,Ewe,Greater Accra,Informal/living together
617016,2023Q2,170,16,1,Male,Head,JSS/JHS,MIXED FARMER CULTIVATING MAIZE CASSAVA AND BEANS AND REARING SNAILS AND BEES,Private Informal,Own land / farm,40,Ewe,Greater Accra,Married (Customary/Traditional)
417018,2022Q4,170,18,1,Male,Head,Secondary,MIXED FARMER CULTIVATING CASSAVA MAIZE ANC AND REARING CHICKEN,Private Informal,Own land / farm,68,Ewe,Greater Accra,Married (Customary/Traditional)
617015,2023Q2,170,15,1,Male,Head,0,MIXED FARMER CULTIVATING MAIZE CASSAVA PEPPER AND REARING SHEEP AND GOAT,Private Informal,Own land / farm,71,Ewe,Volta,Informal/living together
417017,2022Q4,170,17,1,Male,Head,Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING GOAT AND CHICKEN,Private Informal,Own land / farm,34,Ewe,Outside Ghana (specify country),Informal/living together
417016,2022Q4,170,16,1,Male,Head,JSS/JHS,MIXED FARMER MAIZE CASSAVA AND BEE REARING,Private Informal,Other land / farm.,40,Ewe,Greater Accra,Married (Customary/Traditional)
717017,2023Q3,170,17,2,Female,Spouse (Wife/Husband/Living together),JSS/JHS,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING GOAT AND GUINEA FOWL,Private Informal,Own land / farm,30,Ewe,Greater Accra,Informal/living together
417015,2022Q4,170,15,1,Male,Head,0,MIXED FARMER CULTIVATING PALMNUT  CASSAVA MAIZE AND REARING GOAT AND CHICKEN,Private Informal,Own land / farm,70,Ewe,Volta,Informal/living together
617107,2023Q2,171,7,1,Male,Head,JSS/JHS,MIXED FARMER CULTIVATING MAIZE CASSAVA AND CHICKEN,Private Informal,Own land / farm,43,Ewe,,Informal/living together
617107,2023Q2,171,7,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING CHICKEN,Private Informal,Own land / farm,31,Ewe,,Informal/living together
617103,2023Q2,171,3,1,Female,Head,Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING CHICKEN,Private Informal,Own land / farm,49,Ewe,Eastern,Informal/living together
717103,2023Q3,171,3,1,Female,Head,Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING CHICKEN,Private Informal,Own land / farm,50,Ewe,Eastern,Informal/living together
617105,2023Q2,171,5,1,Female,Head,JSS/JHS,MIXED CROP FARMER CULTIVATING MAIZE AND CASSAVA,Private Informal,Own land / farm,30,Ewe,,Informal/living together
317107,2022Q3,171,7,1,Male,Head,JSS/JHS,MIXED FARMER CULTIVATING MAIZE AND CASSAVA AND REARING CHICKEN,Private Informal,Own land / farm,43,Ewe,,Informal/living together
717107,2023Q3,171,7,1,Male,Head,JSS/JHS,MIXED CROP FARMER CULTIVATING MAIZE CASSAVA,Private Informal,Own land / farm,44,Ewe,,Informal/living together
317109,2022Q3,171,9,1,Female,Head,Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING SHEEP AND GOAT,Private Informal,Own land / farm,85,Ewe,,Informal/living together
317212,2022Q3,172,12,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING CASSAVA MAIZE PEPPER AND REARING CHICKEN,Private Informal,Own land / farm,34,Ewe,,Informal/living together
517214,2023Q1,172,14,1,Male,Head,0,MIXED CROP FARMER CULTIVATING MAIZE CASSAVA,Private Informal,Own land / farm,90,Ewe,,Informal/living together
717212,2023Q3,172,12,1,Male,Head,Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING DUCK,Private Informal,Own land / farm,43,Ewe,,Informal/living together
517218,2023Q1,172,18,1,Female,Head,0,MIXED CROP FARMER CULTIVATING CASSAVA MAIZE PEPPER,Private Informal,Own land / farm,47,Ewe,,Informal/living together
717212,2023Q3,172,12,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING DUCKS,Private Informal,Own land / farm,35,Ewe,,Informal/living together
317217,2022Q3,172,17,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING GOAT,Private Informal,Own land / farm,48,Ewe,,Married (Customary/Traditional)
517217,2023Q1,172,17,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND GOAT,Private Informal,Own land / farm,48,Ewe,,Married (Customary/Traditional)
717217,2023Q3,172,17,1,Male,Head,Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING GOAT,Private Informal,Own land / farm,55,Ewe,,Married (Customary/Traditional)
717217,2023Q3,172,17,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING GOAT,Private Informal,Own land / farm,48,Ewe,,Married (Customary/Traditional)
117210,2022Q1,172,10,1,Female,Head,0,MIXED FARMER CULTIVATING CASSAVA MAIZE CHICKEN AND SHEEP,Private Informal,Own land / farm,57,Ewe,,Informal/living together
617213,2023Q2,172,13,1,Male,Head,JSS/JHS,MIXED CROP FARMER CULTIVATING MAIZE CASSAVA,Private Informal,Own land / farm,51,Ewe,,Married (Customary/Traditional)
517213,2023Q1,172,13,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA,Private Informal,Own land / farm,39,Ewe,Volta,Married (Customary/Traditional)
317217,2022Q3,172,17,1,Male,Head,0,MIXED FARMER CULTIVATING CASSAVA PEPPER MAIZE AND REARING GOAT,Private Informal,Own land / farm,55,Ewe,,Married (Customary/Traditional)
617217,2023Q2,172,17,1,Male,Head,0,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING CHICKEN,Private Informal,Own land / farm,55,Ewe,,Married (Customary/Traditional)
117211,2022Q1,172,11,1,Female,Head,JSS/JHS,MIXED FARMER CULTIVATING MAIZE CASSAVA AND ANIMALS,Private Informal,Own land / farm,46,Ewe,Savannah,Widowed
117212,2022Q1,172,12,1,Male,Head,0,MIXED FARMER CULTIVATING MAIZE CASSAVA PEPPER AND POULTRY,Private Informal,Own land / farm,42,Ewe,,Informal/living together
617214,2023Q2,172,14,1,Male,Head,0,MIXED CROP FARMER CULTIVATING MAIZE AND CASSAVA,Private Informal,Own land / farm,90,Ewe,,Informal/living together
517213,2023Q1,172,13,1,Male,Head,JSS/JHS,MIXED FARMER CULTIVATING CASSAVA AND MAIZE,Private Informal,Own land / farm,50,Ewe,,Married (Customary/Traditional)
617212,2023Q2,172,12,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING CHICKEN,Private Informal,Own land / farm,35,Ewe,,Informal/living together
617212,2023Q2,172,12,1,Male,Head,Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND PEPPER AND REARING CHICKEN DUCK,Private Informal,Own land / farm,43,Ewe,,Informal/living together
317209,2022Q3,172,9,1,Male,Head,Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING SHEEP,Private Informal,Own land / farm,44,Ewe,,Informal/living together
317212,2022Q3,172,12,1,Male,Head,0,MIXED FARMER CULTIVATING CASSAVA MAIZE PEPPER AND REARING CHICKEN,Private Informal,Own land / farm,42,Ewe,,Informal/living together
717214,2023Q3,172,14,1,Male,Head,0,MIXED CROP FARMER CULTIVATING MAIZE AND CASSAVA,Private Informal,Own land / farm,90,Ewe,,Informal/living together
517217,2023Q1,172,17,1,Male,Head,0,MIXED FARMER CULTIVATING CASSAVA MAIZE AND REARING GOATS,Private Informal,Own land / farm,55,Ewe,,Married (Customary/Traditional)
617217,2023Q2,172,17,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING CHICKEN,Private Informal,Own land / farm,48,Ewe,,Married (Customary/Traditional)
517212,2023Q1,172,12,1,Male,Head,Primary,MIXED FARMER CULTIVATING CASSAVA MAIZE REARING CHICKEN,Private Informal,Own land / farm,43,Ewe,,Informal/living together
317209,2022Q3,172,9,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING SHEEP,Private Informal,Own land / farm,32,Ewe,,Informal/living together
617310,2023Q2,173,10,1,Female,Head,Primary,MIXED CROP FARMER CULTIVATING MAIZE CASSAVA,Private Informal,Own land / farm,58,Ewe,,Separated
717305,2023Q3,173,5,1,Male,Head,JSS/JHS,MIXED CROP FARMER CULTIVATING MAIZE CASSAVA AND PEPPER,Private Informal,Own land / farm,41,Ewe,,Informal/living together
517306,2023Q1,173,6,2,Female,Spouse (Wife/Husband/Living together),0,MIXED FARMER CULTIVATING MAIZE CASSAVA PEPPER AND REARING CHICKEN,Private Informal,Own land / farm,47,Ewe,Volta,Married (Customary/Traditional)
517306,2023Q1,173,6,1,Male,Head,Middle,MIXED FARMER CULTIVATING MAIZE CASSAVA PEPPER AND REARING,Private Informal,Own land / farm,57,Ewe,,Married (Customary/Traditional)
717306,2023Q3,173,6,1,Male,Head,Middle,MIXED CROP FARMER CULTIVATING MAIZE CASSAVA,Private Informal,Own land / farm,58,Ewe,,Married (Customary/Traditional)
617305,2023Q2,173,5,2,Female,Spouse (Wife/Husband/Living together),JSS/JHS,MIXED CROP FARMER CULTIVATING MAIZE CASSAVA,Private Informal,Own land / farm,33,Ewe,Volta,Informal/living together
717305,2023Q3,173,5,2,Female,Spouse (Wife/Husband/Living together),JSS/JHS,MIXED CROP FARMER CULTIVATING MAIZE CASSAVA AND PEPPER,Private Informal,Own land / farm,33,Ewe,Volta,Informal/living together
717310,2023Q3,173,10,1,Female,Head,Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA,Private Informal,Own land / farm,58,Ewe,,Separated
617306,2023Q2,173,6,2,Female,Spouse (Wife/Husband/Living together),0,MIXED CROP FARMER CULTIVATING MAIZE CASSAVA AND PEPPER,Private Informal,Own land / farm,47,Ewe,Volta,Married (Customary/Traditional)
717306,2023Q3,173,6,2,Female,Spouse (Wife/Husband/Living together),0,MIXED CROP FARMER CULTIVATING MAIZE CASSAVA AND PEPPER,Private Informal,Own land / farm,47,Ewe,Volta,Married (Customary/Traditional)
517310,2023Q1,173,10,1,Female,Head,Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING CHICKEN,Private Informal,Own land / farm,58,Ewe,,Separated
517305,2023Q1,173,5,2,Female,Spouse (Wife/Husband/Living together),JSS/JHS,MIXED FARMER CULTIVATING MAIZE PEPPER  CASSAVA AND REARING CHICKEN,Private Informal,Own land / farm,32,Ewe,Volta,Informal/living together
417404,2022Q4,174,4,1,Male,Head,SSS/SHS,"MIXED CROP FARMER MAIZE.  CASSAVA,  YELLOW MELON,  OKRO",Private Informal,Other land / farm.,45,Ewe,,Informal/living together
517419,2023Q1,174,19,2,Female,Spouse (Wife/Husband/Living together),0,MIXED FARMER CULTIVATING PALM MAIZE PINEAPPLE AND REARING GOATS AND CHICKEN,Private Informal,Own land / farm,52,Ewe,Eastern,Married (Customary/Traditional)
617419,2023Q2,174,19,1,Male,Head,Primary,MIXED FARMER CULTIVATING PINEAPPLE PLANTAIN MAIZE COCONUT AND REARING CHICKEN AND GOAT,Private Informal,Own land / farm,57,Ewe,Eastern,Married (Customary/Traditional)
517419,2023Q1,174,19,1,Male,Head,Primary,MIXED FARMER CULTIVATING PALM MAIZE PINEAPPLE AND REARING CHICKEN GOAT,Private Informal,Own land / farm,57,Ewe,Eastern,Married (Customary/Traditional)
617419,2023Q2,174,19,2,Female,Spouse (Wife/Husband/Living together),0,MIXED FARMER CULTIVATING PINEAPPLE PLANTAIN MAIZE COCONUT AND REARING CHICKEN AND GOAT,Private Informal,Own land / farm,53,Ewe,Eastern,Married (Customary/Traditional)
517418,2023Q1,174,18,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING CHICKEN DUCK,Private Informal,Other land / farm.,30,,Volta,Married (Customary/Traditional)
717419,2023Q3,174,19,2,Female,Spouse (Wife/Husband/Living together),0,MIXED FARMER CULTIVATING MAIZE PINEAPPLE PALM TREES AND REARING CHICKEN AND GOAT,Private Informal,Own land / farm,53,Ewe,Eastern,Married (Customary/Traditional)
717418,2023Q3,174,18,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING CHICKEN AND DUCK,Private Informal,Own land / farm,30,,Volta,Married (Customary/Traditional)
517419,2023Q1,174,19,3,Female,Child (Son/Daughter),SSS/SHS,MIXED FARMER CULTIVATING MAIZE PINEAPPLE PALM AND REARING GOAT AND CHICKEN,Private Informal,Own land / farm,21,Ewe,Eastern,Never married
717420,2023Q3,174,20,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING CASSAVA AND GROUND NUT AND REARING CHICKEN,Private Informal,Own land / farm,43,Ewe,Volta,Married (Customary/Traditional)
617420,2023Q2,174,20,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA GROUNDNUTS AND REARING CHICKEN,Private Informal,Own land / farm,42,Ewe,Volta,Married (Customary/Traditional)
717419,2023Q3,174,19,1,Male,Head,Primary,MIXED FARMER CULTIVATING PINEAPPLE MAIZE PALM TREE AND REARING CHICKEN AND GOAT,Private Informal,Own land / farm,58,Ewe,Eastern,Married (Customary/Traditional)
417516,2022Q4,175,16,1,Female,Head,0,MIXED FARMER CULTIVATING CASSAVA AND REARING SHEEP AND GOAT,Private Informal,Own land / farm,42,Ewe,Outside Ghana (specify country),Never married
417613,2022Q4,176,13,4,Female,Child (Son/Daughter),Middle,MIXED FARMER CULTIVATING CASSAVA YAM AND REARING GOAT,Private Informal,Own land / farm,63,Ewe,,Divorced
417611,2022Q4,176,11,1,Male,Head,Middle,MIXED CROP FARMER CULTIVATING COCOA PLANTAIN AND BANANA,Private Informal,Own land / farm,64,Ewe,,Married (Civil/Ordinance)
417709,2022Q4,177,9,3,Female,Child (Son/Daughter),JSS/JHS,MIXED FARMER CULTIVATING MAIZE CASSAVA AND PEPPER AND REARING  CHICKEN,Private Informal,Other land / farm.,25,Ewe,,Never married
417701,2022Q4,177,1,7,Female,Spouse (Wife/Husband/Living together),Middle,MIXED FARMER CULTIVATING MAIZE CASSAVA PEPPER AND REARING CHICKEN,Private Informal,Other land / farm.,52,Ewe,,Married (Customary/Traditional)
417702,2022Q4,177,2,2,Female,Spouse (Wife/Husband/Living together),0,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING CHICKEN,Private Informal,Other land / farm.,41,Ewe,,Informal/living together
417704,2022Q4,177,4,3,Female,Child (Son/Daughter),SSS/SHS,MIXED FARMER CULTIVATING MAIZE CASSAVA AND PEPPER AND REARING CHICKEN,Private Informal,Other land / farm.,30,Ewe,,Never married
417704,2022Q4,177,4,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND PEPPER REARING,Private Informal,Other land / farm.,49,Ewe,,Married (Customary/Traditional)
417703,2022Q4,177,3,2,Female,Spouse (Wife/Husband/Living together),JSS/JHS,MIXED CROP FARMER CULTIVATING CASSAVA AND MAIZE,Private Informal,Other land / farm.,32,Ewe,,Informal/living together
417702,2022Q4,177,2,4,Female,Child (Son/Daughter),JSS/JHS,MIXED FARMER CULTIVATING MAIZE CASSAVA  AND REARING CHICKEN,Private Informal,Other land / farm.,21,Ewe,,Never married
417709,2022Q4,177,9,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND PEPPER,Private Formal,Other land / farm.,42,Ewe,,Informal/living together
417702,2022Q4,177,2,1,Male,Head,JSS/JHS,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING CHICKEN,Private Informal,Other land / farm.,50,Ewe,,Informal/living together
417709,2022Q4,177,9,1,Male,Head,Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA PEPPER AND REARING CHICKEN,Private Informal,Other land / farm.,46,Ewe,,Informal/living together
417907,2022Q4,179,7,1,Female,Head,Middle,MIXED FARMER CULTIVATING MAIZE AND CASSAVA REARING GOAT,Private Informal,Own land / farm,66,Ewe,,Married (Civil/Ordinance)
417915,2022Q4,179,15,1,Male,Head,Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND CHICKEN,Private Informal,Own land / farm,48,Ewe,,Married (Civil/Ordinance)
417917,2022Q4,179,17,1,Female,Head,Middle,MIXED FARMER CULTIVATING BEANS CASSAVA AND REARING GOATS,Private Informal,Own land / farm,66,Ewe,,Separated
417915,2022Q4,179,15,2,Female,Spouse (Wife/Husband/Living together),Voc/Tech/Commercial,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING CHICKEN,Private Informal,Own land / farm,41,Ewe,Volta,Married (Civil/Ordinance)
417907,2022Q4,179,7,3,Female,Child (Son/Daughter),Secondary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING GOAT,Private Informal,Other land / farm.,39,Ewe,,Married (Customary/Traditional)
417907,2022Q4,179,7,2,Male,Spouse (Wife/Husband/Living together),Middle,MIXED CROP FARMER CULTIVATING CASSAVA AND MAIZE,Private Informal,Own land / farm,60,Ewe,,Married (Civil/Ordinance)
